Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
Salman Butt,Batsman,"Pakistan,",32 years 24 days,Left-hand bat,,,"October 7, 1984, Lahore, Punjab ",,,,Salman Butt,Kolkata Knight Riders,Right-arm,offbreak
BJ Hodge,Top-order batsman,"Australia,",41 years 307 days,Right-hand bat,,1.78 m,"December 29, 1974, Sandringham, Victoria ",,,"Hodgey, Dodgeball",Bradley John Hodge,Rajasthan Royals,Right-arm,offbreak
Umar Gul,Bowler,"Pakistan,",32 years 200 days,Right-hand bat,,,"April 14, 1984, Peshawar, North-Western Frontier Province ",,,,Umar Gul,Kolkata Knight Riders,Right-arm,fast-medium
SP Fleming,Top-order batsman,"New Zealand,",43 years 213 days,Left-hand bat,,,"April 1, 1973, Christchurch, Canterbury ",,,,Stephen Paul Fleming,Chennai Super Kings,Left-arm,
S Vidyut,,"Chennai Super Kings,",34 years 333 days,Left-hand bat,,,"December 3, 1981, Madras (now Chennai), Tamil Nad","Father - V Sivaramakrishnan,",,,Vidyut Sivaramakrishnan,Chennai Super Kings,Left-arm,slow
AB de Villiers,Wicketkeeper batsman,"South Africa,",32 years 257 days,Right-hand bat,,,"February 17, 1984, Pretoria ",,,,Abraham Benjamin de Villiers,Royal Challengers Bangalore,Right-arm,medium
PJ Sangwan,Bowler,"Delhi,",25 years 361 days,Right-hand bat,,,"November 5, 1990, Rasiwas, Delhi ",,,,Pradeep Jaibeer Sangwan,Kolkata Knight Riders,Left-arm,medium
M Ntini,,"South Africa,",39 years 117 days,Right-hand bat,,,"July 6, 1977, Mdingi, nr King William's Town, Cape Province ",,,,Makhaya Ntini,Chennai Super Kings,Right-arm,fast
LPC Silva,Batsman,"Sri Lanka,",36 years 322 days,Right-hand bat,,,"December 14, 1979, Panadura ",,,,Lindamlilage Prageeth Chamara Silva,Deccan Chargers,Right-arm,legbreak
DB Ravi Teja,Batsman,"Deccan Chargers,",29 years 56 days,Right-hand bat,,,"September 5, 1987, Kakinada, Andhra Pradesh ",,,,Dwaraka Bhamidipati Ravi Teja,Sunrisers Hyderabad,Right-arm,legbreak
DP Vijaykumar,,"Andhra,",30 years 11 days,Right-hand bat,,,"October 20, 1986, Paidikalva, Andhra Pradesh ",,,,David Paidikalva Vijaykumar,Deccan Chargers,Right-arm,medium
Misbah-ul-Haq,Middle-order batsman,"Pakistan,",42 years 156 days,Right-hand bat,,,"May 28, 1974, Mianwali, Punjab ",,,,Misbah-ul-Haq Khan Niazi,Royal Challengers Bangalore,Right-arm,legbreak
